IS_top_5_league,Based_rich_nation,Is_top_ranked_nation,EU_National,Caps,Apps,Age,Reputation,Is_top_prev_club,Last_Transfer_Fee,Salary
1,1,2,1,0.225,0.3191489361702128,0.3571428571428571,0.7527638190954774,0,0,6256000.0
1,1,2,1,0.65,0.5982478097622028,0.6071428571428571,0.7326633165829146,1,0,6240000.0
1,1,2,1,0.0,0.0362953692115144,0.0,0.7944723618090452,0,0,6232000.0
1,1,2,1,0.5650000000000001,0.6332916145181477,0.7499999999999999,0.7824120603015076,0,0,6142000.0
1,1,2,0,0.05,0.3642052565707134,0.4999999999999999,0.7393969849246231,0,0,6064000.0
1,1,2,0,0.0,0.3216520650813517,0.4642857142857143,0.7336683417085427,1,0,6064000.0
1,1,2,1,0.0,0.0688360450563204,0.1071428571428571,0.6878391959798995,0,0,6064000.0
1,1,2,1,0.015,0.19774718397997498,0.2142857142857143,0.7447236180904523,0,0,6064000.0
1,1,0,0,0.245,0.18523153942428036,0.4285714285714285,0.6934673366834171,0,0,6064000.0
0,0,1,1,0.265,0.35544430538172717,0.4642857142857143,0.7118592964824121,1,0,6064000.0
1,1,1,0,0.39,0.35294117647058826,0.4642857142857143,0.6985929648241206,0,0,6064000.0
1,1,2,0,0.245,0.3942428035043805,0.4285714285714285,0.6727638190954773,0,0,6064000.0
1,1,0,0,0.28,0.45807259073842305,0.3928571428571429,0.7778894472361809,0,0,6064000.0
1,1,2,0,0.055,0.43429286608260326,0.3928571428571429,0.7552763819095477,0,0,6064000.0
1,1,1,0,0.34500000000000003,0.24780976220275344,0.2857142857142857,0.7527638190954774,1,0,6064000.0
1,1,2,1,0.05,0.19524405506883605,0.25,0.7724623115577889,0,0,6064000.0
1,1,2,0,0.09,0.30037546933667086,0.4642857142857143,0.7236180904522613,0,0,6064000.0
1,1,2,0,0.21,0.4956195244055069,0.5357142857142857,0.8013065326633165,1,0,6064000.0
